ID,Name,Age,Salary,Department,Experience,Joining_Date,Gender
1,Alice,25,50000,IT,2,2020-06-15,Female
2,Bob,30,60000,HR,5,2018-09-10,Male
3,Charlie,35,,Finance,7,2016-04-22,Male
4,David,40,80000,IT,10,2012-11-05,Male
5,Eva,29,55000,HR,3,2021-01-12,Female
6,Frank,31,65000,Finance,,2019-07-08,Male
7,Grace,,70000,IT,8,2015-03-19,Female
8,Hank,45,90000,HR,15,2010-08-25,Male
9,Ivy,27,52000,IT,4,2019-05-30,Female
10,Jack,33,72000,Finance,6,2017-12-14,Male
11,Alice,25,50000,IT,2,2020-06-15,Female
12,Bob,30,60000,HR,5,2018-09-10,Male
