ID,Name,Age,Salary,Join Date,City,Email,Purchase
101,Russell Jimenez,34.0,,03-08-2017,North Raymond,russell_jimenez@example.com,0
102,Jamie Pena,24.0,,16-11-2015,West Jeff,jamie_pena@example.com,1
103,Cheryl Mclaughlin,51.0,,15-07-2024,East Tara,cheryl_mclaughlin@example.com,0
104,Antonio Carter,59.0,,13-01-2019,South Robin,antonio_carter@example.com,0
105,Julie Tran,48.0,,18-02-2023,Jacksonville,julie_tran@example.com,1
106,Kayla Johnston,55.0,,10-11-2018,Sanchezburgh,kayla_johnston@example.com,0
107,Olivia Shaw,48.0,,26-01-2016,Morrisshire,olivia_shaw@example.com,1
108,Julie Perry,30.0,,11-05-2023,South Ritaton,julie_perry@example.com,0
109,Michele Smith,56.0,,01-11-2016,Whitebury,michele_smith@example.com,0
110,Larry Crosby,41.0,,23-11-2019,Kramerstad,larry_crosby@example.com,1
111,Jamie Wilkins,40.0,,14-11-2015,Andersonview,jamie_wilkins@example.com,1
112,Michelle Hunter DDS,31.0,,22-05-2022,Port Gary,michelle_hunter_dds@@gmail.com,1
113,nan,51.0,,17-08-2022,New Nicholas,unknown@example.com,1
114,Haley Jordan,,,21-11-2024,New Kevinmouth,haley_jordan@@gmail.com,0
115,Kaylee Gonzalez,53.0,,17-04-2021,Lake Julie,kaylee_gonzalez@example.com,1
116,Kristy Snyder,48.0,,21-12-2020,Lake Timothyland,kristy_snyder@example.com,1
117,Melissa Hunter,24.0,,21-10-2022,Stephaniebury,melissa_hunter@example.com,1
118,Tiffany Medina DVM,48.0,,12-02-2021,East Kelly,tiffany_medina_dvm@example.com,0
119,Destiny Mendoza,,,19-12-2018,Port Gregory,destiny_mendoza@example.com,0
120,Suzanne Lee,56.0,,10-09-2016,Cookchester,suzanne_lee@@gmail.com,0
121,David Dunlap,47.0,,19-09-2015,Port Matthew,david_dunlap@example.com,0
122,William Jones,25.0,,15-06-2020,Medinafurt,william_jones@example.com,0
123,Deborah Neal,31.0,,24-06-2021,New Louis,deborah_neal@example.com,1
124,Angela Watts,22.0,,09-07-2019,West Kimfurt,angela_watts@example.com,0
125,Rebecca Spence,32.0,,12-02-2022,Zacharyshire,rebecca_spence@example.com,1
126,Andrea Lynch,31.0,,02-08-2023,West Cory,andrea_lynch@example.com,1
127,Paul King,43.0,,25-05-2021,West Juliehaven,paul_king@example.com,1
128,nan,,,05-10-2015,East Anthony,unknown@example.com,1
129,Taylor Ayala,21.0,,25-08-2024,North Rebeccabury,taylor_ayala@example.com,1
130,Ralph Robinson,35.0,,11-07-2018,New Johnchester,ralph_robinson@example.com,1
131,nan,59.0,,13-05-2023,New Kennethberg,unknown@example.com,1
132,Steven Crosby,33.0,,01-06-2021,Marshberg,steven_crosby@example.com,1
133,Melissa Harris,48.0,,09-11-2017,Manntown,melissa_harris@example.com,1
134,Jeffrey Salazar,50.0,,10-12-2024,Johnsonmouth,jeffrey_salazar@example.com,1
135,Patricia Thompson,20.0,,27-09-2019,South Dennis,patricia_thompson@example.com,0
136,Willie Richards,38.0,,09-02-2017,Johnsonburgh,willie_richards@example.com,1
137,David Austin,45.0,,05-03-2015,Melissafort,david_austin@example.com,0
138,Cindy Brown,43.0,,01-02-2019,Vanessaside,cindy_brown@example.com,0
139,Sheryl Powell,56.0,,03-08-2023,South Sandraton,sheryl_powell@example.com,1
140,nan,55.0,,10-05-2020,Lake Brucetown,unknown@example.com,0
141,Michael Nunez,40.0,,11-04-2016,West Regina,michael_nunez@example.com,0
142,Randy Mays,44.0,,28-11-2019,West Sarah,randy_mays@example.com,1
143,Amber Stevens,48.0,,03-05-2021,West Kerritown,amber_stevens@example.com,1
144,Karina Mayer,49.0,,25-08-2015,Daltonchester,karina_mayer@example.com,0
145,Chelsea Peterson,34.0,,04-01-2023,Trujillofort,chelsea_peterson@example.com,0
146,Christine Thomas,36.0,,19-07-2017,Terrytown,christine_thomas@example.com,1
147,Taylor Morris,59.0,,17-11-2015,Pattersontown,taylor_morris@example.com,1
148,Noah Jones,27.0,,09-01-2016,Port Deborahfurt,noah_jones@example.com,1
149,Wendy Campbell,38.0,,15-11-2016,Smithport,wendy_campbell@example.com,0
150,Larry Hammond,30.0,,16-04-2022,Sarahhaven,larry_hammond@example.com,1
151,James Wagner,41.0,,19-09-2016,Richardsonstad,james_wagner@example.com,1
152,Jennifer Phillips,42.0,,20-03-2022,Leonchester,jennifer_phillips@example.com,1
153,Kathryn Pollard,47.0,,22-08-2015,Patrickhaven,kathryn_pollard@example.com,0
154,James York,43.0,,22-12-2015,East Ryanville,james_york@example.com,1
155,Nicole Allen,50.0,,23-11-2022,Guzmanstad,nicole_allen@example.com,1
156,Brian Gardner,23.0,,11-01-2021,Lake Michaelmouth,brian_gardner@example.com,0
157,Mr. Alexander Campbell,37.0,,03-10-2024,Port Albert,mr._alexander_campbell@@gmail.com,1
158,Erin Cunningham,31.0,,18-06-2016,Hernandezmouth,erin_cunningham@example.com,0
159,Dr. Donald Dawson,,,20-08-2023,East Wesleyland,dr._donald_dawson@example.com,0
160,Amanda Mitchell,38.0,,03-10-2024,Williamsfort,amanda_mitchell@example.com,0
161,Lisa Wiggins,21.0,,08-12-2018,West Brian,lisa_wiggins@example.com,1
